1.,Berlin,"3,208,719","3,048,759","3,433,695","3,382,169","3,460,725","3,664,088",Berlin
2.,Hamburg,"1,793,640","1,645,095","1,652,363","1,715,392","1,786,448","1,852,478",Hamburg
3.,München,"1,311,978","1,298,941","1,229,026","1,210,223","1,353,186","1,488,202",Bayern
4.,Köln,"849,451","976,694","953,551","962,884","1,007,119","1,083,498",Nordrhein-Westfalen
5.,Frankfurt am Main,"666,179","629,375","644,865","646,550","679,664","764,104",Hessen
6.,Stuttgart,"634,202","580,648","579,988","583,874","606,588","630,305",Baden-Württemberg
7.,Düsseldorf,"660,963","590,479","575,794","569,364","588,735","620,523",Nordrhein-Westfalen
8.,Leipzig,"583,885","562,480","511,079","493,208","522,883","597,493",Sachsen
9.,Dortmund,"640,642","608,297","599,055","588,994","580,444","587,696",Nordrhein-Westfalen
10.,Essen,"696,419","647,643","626,973","595,243","574,635","582,415",Nordrhein-Westfalen
11.,Bremen,"592,533","555,118","551,219","539,403","547,340","566,573",Bremen
12.,Dresden,"502,432","516,225","490,571","477,807","523,058","556,227",Sachsen
13.,Hannover,"521,003","534,623","513,010","515,001","522,686","534,049",Niedersachsen
14.,Nürnberg,"478,181","484,405","493,692","488,400","505,664","515,543",Bayern
15.,Duisburg,"452,721","558,089","535,447","514,915","489,559","495,885",Nordrhein-Westfalen
16.,Bochum,"343,809","400,757","396,486","391,147","374,737","364,454",Nordrhein-Westfalen
17.,Wuppertal,"417,694","393,381","383,660","366,434","349,721","355,004",Nordrhein-Westfalen
18.,Bielefeld,"168,609","312,708","319,037","321,758","323,270","333,509",Nordrhein-Westfalen
19.,Bonn,"275,722","288,148","292,234","302,247","324,899","330,579",Nordrhein-Westfalen
20.,Münster,"198,878","269,696","259,438","265,609","279,803","316,403",Nordrhein-Westfalen
21.,Mannheim,"332,378","304,303","310,411","306,729","313,174","309,721",Baden-Württemberg
22.,Karlsruhe,"259,091","271,892","275,061","278,558","294,761","308,436",Baden-Württemberg
23.,Augsburg,"213,230","248,346","256,877","254,982","264,708","295,830",Bayern
